45.780 6.570 98    FMS    C    SS    13.000    FRA    31    NO    SUB    831
46.040 6.020 104    FMS    C    SS    0.000    FRA    32    NO    SUB    876
44.810 6.830 66    FMS    C    TF    8.000    FRA    34    NO    SUB    726
48.217 3.550 122    BO    B    U    1.325    FRA    35    NO    SUB    1178
44.590 6.860 14    FMS    C    NS    0.000    ITA    2    NO    SUB    703
45.650 6.910 115    FMS    C    TF    4.000    FRA    37    NO    SUB    806
44.970 5.690 90    FMS    C    TF    11.000    FRA    38    NO    SUB    788
47.380 5.250 3    FMS    C    SS    0.000    FRA    39    NO    SUB    1035
47.240 5.363 53    FMS    C    NF    10.000    FRA    40    NO    SUB    1017
47.970 5.140 2    FMS    C    SS    15.000    FRA    41    NO    SUB    1096
48.270 6.550 174    FMS    C    SS    5.000    FRA    42    NO    SUB    1085
44.850 4.700 140    BO    C    U    0.000    FRA    43    NO    CCB    816
48.190 6.600 157    FMS    C    TF    10.000    FRA    44    NO    SUB    1076
46.800 5.780 148    FMS    C    SS    5.000    FRA    46    NO    SUB    959
47.100 6.440 142    FMS    C    SS    15.000    FRA    47    NO    SUB    968
47.310 6.320 158    FMS    C    SS    5.000    FRA    48    NO    SUB    993
43.200 -0.500 133    FMS    C    TF    15.000    FRA    50    NO    CCB    773
48.280 6.580 158    FMS    C    SS    5.000    FRA    51    NO    SUB    1086
48.100 6.592 159    FMS    C    SS    0.000    FRA    52    NO    SUB    1067
47.620 7.215 163    FMS    C    SS    11.400    FRA    53    NO    SUB    1001
48.290 7.650 147    FMS    C    SS    7.000    FRA    54    NO    SUB    1061
45.900 5.200 172    BO    B    U    0.790    FRA    55    NO    SUB    895
49.200 3.900 90    BO    C    U    0.000    FRA    57    NO    SUB    1259
49.600 3.900 170    BO    C    U    0.000    FRA    58    NO    SUB    1298
48.900 3.900 140    BO    C    U    0.000    FRA    59    NO    SUB    1230
48.900 2.100 140    BO    C    U    0.000    FRA    60    NO    SUB    1300
48.500 1.800 155    BO    C    U    0.000    FRA    61    NO    CCB    1277
48.400 3.000 155    BO    C    U    0.000    FRA    62    NO    SUB    1217
48.200 2.500 135    BO    C    U    0.000    FRA    63    NO    SUB    1220
43.100 0.000 120    BO    C    U    0.000    FRA    64    NO    CCB    751
43.000 -1.000 105    BO    C    U    0.000    FRA    65    NO    CCB    765
45.700 5.307 18    OC    C    NF    0.018    FRA    69    NO    SUB    872
47.867 7.333 11    HFP    B    U    0.670    FRA    71    NO    SUB    1024
47.730 -1.670 101    FMS    C    NF    2.000    FRA    72    NO    CCB    1278
48.430 -1.140 161    FMS    C    TF    9.000    FRA    75    NO    CCB    1338
49.100 -3.880 41    FMS    C    SS    10.000    SEA    7    NO    CCB    1446
47.680 -3.190 119    FMS    C    NF    10.000    FRA    77    NO    CCB    1286
47.570 0.510 164    FMS    C    SS    8.000    FRA    78    NO    CCB    1214
47.100 -0.350 25    FMS    C    SS    8.000    FRA    79    NO    CCB    1180
46.030 -1.740 148    FMS    C    NS    10.000    SEA    12    NO    CCB    1102
46.470 -2.980 50    FMS    C    NF    11.000    SEA    13    NO    CCB    1152
46.300 -3.060 10    FMS    C    TF    5.000    SEA    15    NO    CCB    1133
46.480 -4.680 95    FMS    C    NF    13.000    SEA    17    NO    CCB    1165
43.070 -0.420 125    FMF    A    NF    4.000    FRA    83    NO    CCB    758
43.170 -0.030 70    FMS    C    SS    13.000    FRA    85    NO    CCB    759
43.070 -0.280 75    FMS    C    SS    8.000    FRA    86    NO    CCB    754
46.530 0.550 100    OC    C    TF    0.000    FRA    87    NO    CCB    1101
44.940 0.400 139    FMS    C    NF    3.000    FRA    88    NO    CCB    934
46.790 -0.450 129    FMS    C    NF    11.000    FRA    89    NO    CCB    1150
46.300 1.410 161    FMS    C    SS    14.000    FRA    90    NO    CCB    1063
46.200 0.960 72    FMS    C    SS    5.000    FRA    91    NO    CCB    1059
46.350 3.240 170    FMS    C    SS    11.000    FRA    92    NO    CCB    1017
46.110 2.790 148    FMS    C    NS    13.000    FRA    93    NO    CCB    1012
46.230 1.670 145    FMS    C    SS    12.000    FRA    96    NO    CCB    1051
46.530 0.590 144    FMS    C    SS    12.000    FRA    97    NO    CCB    1101
46.440 1.350 94    FMS    C    TF    2.000    FRA    98    NO    CCB    1079
46.690 1.730 174    FMS    C    NF    14.000    FRA    99    NO    CCB    1100
45.720 0.800 119    FMS    C    SS    15.000    FRA    101    NO    CCB    1010
46.510 1.680 152    FMS    C    NF    6.000    FRA    102    NO    CCB    1081
45.620 1.040 134    FMS    C    TF    9.000    FRA    103    NO    CCB    995
46.330 1.290 96    FMS    C    NF    5.000    FRA    106    NO    CCB    1068
