!Plate boundaries by Peter Bird (2003)
>   AF   AN
 -24.3111   36.7925    EU    AF
 -24.2554   36.7810    EU    AF
 -24.1461   36.7885    EU    AF
 -24.0456   36.7548    EU    AF
 -23.5697   36.6459    EU    AF
 -22.8933   36.7020    EU    AF
 -22.2160   36.7543    EU    AF
 -21.5072   36.8197    EU    AF
 -20.7973   36.8809    EU    AF
 -20.2403   36.9543    EU    AF
 -19.6823   37.0251    EU    AF
 -18.6180   37.3070    EU    AF
 -18.1244   37.4657    EU    AF
 -17.5843   37.5034    EU    AF
 -16.7420   37.4354    EU    AF
 -15.8415   37.2966    EU    AF
 -15.3865   37.2117    EU    AF
 -15.1427   37.0206    EU    AF
 -14.4109   37.2101    EU    AF
 -13.6754   37.3950    EU    AF
 -12.9035   36.8638    EU    AF
 -12.1424   36.3276    EU    AF
 -11.5854   35.8512    EU    AF
 -10.9233   36.0984    EU    AF
 -10.4287   36.3916    EU    AF
  -9.9769   36.6514    EU    AF
  -9.5452   36.4296    EU    AF
  -8.7845   36.0509    EU    AF
  -8.0312   35.6675    EU    AF
  -7.1926   35.2729    EU    AF
  -6.7303   35.0633    EU    AF
  -6.0637   34.7839    EU    AF
  -6.0397   34.5174    EU    AF
  -6.0002   34.2634    EU    AF
  -5.8080   34.0191    EU    AF
  -5.3966   33.9850    EU    AF
  -5.0723   34.0783    EU    AF
  -4.7056   34.0681    EU    AF
  -4.0564   34.1993    EU    AF
  -3.7819   35.0136    EU    AF
  -3.7494   35.5962    EU    AF
  -3.2959   35.8577    EU    AF
  -2.8933   36.0184    EU    AF
  -2.5729   36.1053    EU    AF
  -1.9917   35.8985    EU    AF
  -1.5162   35.7709    EU    AF
  -0.7478   35.7757    EU    AF
   0.0030   35.9040    EU    AF
   0.6670   36.0723    EU    AF
   1.2447   36.2823    EU    AF
   1.9702   36.5026    EU    AF
   2.3799   36.5942    EU    AF
   3.4536   36.8509    EU    AF
   4.2965   36.9695    EU    AF
   5.1420   37.0821    EU    AF
   5.9738   37.1540    EU    AF
   6.7840   37.3219    EU    AF
>   EU   AF
   6.7840   37.3219    EU    AF
   7.2152   37.3203    EU    AF
   7.8046   37.3582    EU    AF
   8.2652   37.4675    EU    AF
   8.6270   37.7896    EU    AF
   8.9421   38.2117    EU    AF
   9.2638   38.3410    EU    AF
   9.7002   38.4698    EU    AF
  10.0893   38.5717    EU    AF
  10.3732   38.6850    EU    AF
>   EU   AF
  10.3732   38.6850    EU    AF
  10.6091   38.8209    EU    AF
  10.8274   38.9939    EU    AF
  11.1176   39.0672    EU    AF
  11.3626   39.0748    EU    AF
  11.6589   39.0327    EU    AF
  11.7777   38.9344    EU    AF
  12.0574   38.8781    EU    AF
  12.4335   38.8487    EU    AF
  12.7076   38.6004    EU    AF
  13.3137   38.6105    EU    AF
  13.8115   38.6250    EU    AF
  14.1139   38.6953    EU    AF
  14.5145   38.7653    EU    AF
>   EU   AF
  14.5145   38.7653    EU    AF
  15.1752   38.2924    EU    AF
  15.4993   38.4014    EU    AF
  15.6387   38.2993    EU    AF
  15.5511   38.1136    EU    AF
  15.4207   37.8857    EU    AF
  15.3444   37.6152    EU    AF
  15.3751   37.3401    EU    AF
>   EU   AF
  15.3751   37.3401    EU    AF
  15.8319   37.2743    EU    AF
  16.2365   37.3088    EU    AF
  16.8237   37.3985    EU    AF
  17.1676   37.5026    EU    AF
  17.4195   37.7008    EU    AF
  17.6117   37.9929    EU    AF
  17.7731   38.2855    EU    AF
  17.8447   38.4615    EU    AF
  18.0307   38.5162    EU    AF
  18.0857   38.7941    EU    AF
  18.0621   39.0063    EU    AF
  17.9599   39.1696    EU    AF
>   EU   AF
  17.9599   39.1696    EU    AF
  18.3644   38.9474    EU    AF
  18.8950   38.6942    EU    AF
  19.5844   38.2716    EU    AF
  20.0000   37.9075    EU    AF
>   IN   SO
  58.2392   12.7455    IN    SO
  58.0174   12.2835    IN    SO
  57.7963   11.8213    IN    SO
  57.5760   11.3589    IN    SO
  57.3564   10.8963    IN    SO
  57.1375   10.4336    IN    SO
  56.9192    9.9708    IN    SO
  56.9775    9.8572    IN    SO
  57.0289    9.8575    IN    SO
  57.2606    9.6814    IN    SO
  57.4906    9.9416    IN    SO
  58.0630    9.5324    IN    SO
  58.0184    9.4501    IN    SO
  58.2625    9.2926    IN    SO
  58.1476    9.0898    IN    SO
  58.4302    8.8626    IN    SO
  58.2514    8.6469    IN    SO
  58.6106    8.4008    IN    SO
  58.9183    8.1669    IN    SO
  58.8800    8.0972    IN    SO
  59.3092    7.7683    IN    SO
  59.2197    7.6731    IN    SO
  59.6997    7.3122    IN    SO
  60.1789    6.9508    IN    SO
  60.0383    6.7669    IN    SO
  60.6701    6.3098    IN    SO
  61.1417    5.9095    IN    SO
  61.6573    5.4897    IN    SO
  61.5293    5.2616    IN    SO
  61.9997    4.9113    IN    SO
  62.4568    4.5227    IN    SO
  63.0023    4.1081    IN    SO
  62.8678    3.8929    IN    SO
  63.3307    3.6307    IN    SO
  63.3882    3.7001    IN    SO
  63.8192    3.4821    IN    SO
  63.8898    3.6022    IN    SO
  64.6181    3.2170    IN    SO
  64.6822    3.2990    IN    SO
  65.2128    2.9208    IN    SO
  65.4890    3.2991    IN    SO
  65.9626    2.9715    IN    SO
  66.3795    2.7520    IN    SO
  66.1794    2.3925    IN    SO
  65.9923    2.0520    IN    SO
  66.3328    1.8587    IN    SO
  66.6728    1.6209    IN    SO
  66.4925    1.3314    IN    SO
  66.8698    1.0679    IN    SO
  66.6573    0.7220    IN    SO
  67.1594    0.3371    IN    SO
  66.8392   -0.0388    IN    SO
  67.2089   -0.3398    IN    SO
  67.0231   -0.5779    IN    SO
  67.6620   -1.0396    IN    SO
  67.3671   -1.4400    IN    SO
  67.9291   -1.9130    IN    SO
  67.7884   -2.0877    IN    SO
  68.2490   -2.5402    IN    SO
  67.8921   -2.8880    IN    SO
  68.2702   -3.3513    IN    SO
  68.6672   -3.7707    IN    SO
  68.3485   -4.1176    IN    SO
  68.7510   -4.5488    IN    SO
  68.1985   -5.0419    IN    SO
